R,G,B,O,Y,B
455,246,388,566,1288,996
450,249,421,588,1289,975
455,261,427,625,1297,1018
464,283,438,642,1298,1022
458,265,412,582,1287,978
447,250,420,583,1285,965
435,238,406,562,1279,956
438,235,405,563,1280,960
439,236,410,569,1281,961
442,243,413,579,1285,972
443,244,412,573,1282,965
442,242,402,560,1279,961
439,237,404,559,1278,955
421,226,417,553,1269,924
418,226,423,565,1273,932
427,231,418,566,1275,943
433,239,428,582,1279,949
430,232,409,559,1274,945
430,230,410,561,1275,947
428,227,407,553,1272,939
425,226,413,558,1272,936
426,230,422,568,1274,939
426,231,424,568,1273,935
421,228,429,573,1273,936
426,232,425,568,1272,933
418,226,428,567,1270,926
421,228,428,567,1270,927
419,229,429,568,1269,925
423,230,427,569,1271,931
428,238,434,587,1277,947
430,238,431,583,1276,946
432,240,429,582,1277,949
431,239,427,576,1276,943
431,238,430,584,1278,950
434,242,428,583,1278,952
437,242,427,585,1279,957
437,243,431,588,1279,956
438,244,431,590,1281,958
438,244,431,589,1279,956
437,243,431,584,1277,949
431,237,429,579,1275,944
434,242,430,583,1276,948
434,241,431,584,1277,948
434,241,434,593,1280,957
433,240,431,586,1278,951
434,241,431,583,1277,946
429,237,439,588,1276,942
427,235,436,579,1275,933
425,233,441,583,1276,932
426,237,444,588,1278,935
428,239,450,595,1281,938
432,244,449,596,1283,941
432,244,452,600,1284,942
432,243,448,596,1283,941
433,243,450,599,1284,944
240,189,189,340,587,557
239,189,191,340,588,553
238,189,192,343,584,554
238,188,192,341,587,552
238,187,193,343,585,553
237,191,195,344,585,552
238,186,194,345,584,551
236,191,195,345,585,550
236,189,198,345,588,546
236,187,195,342,587,548
236,188,186,337,581,555
237,185,179,331,578,558
236,190,191,343,580,554
233,192,208,355,583,542
231,193,207,358,578,545
231,195,207,358,578,545
230,197,206,358,577,545
231,194,206,359,573,546
231,196,208,357,580,544
232,195,204,355,579,546
232,194,202,354,578,548
232,196,202,354,576,548
231,195,200,356,572,550
233,194,203,352,581,546
232,194,203,353,578,547
232,193,202,354,576,547
230,198,201,354,575,550
232,195,201,353,577,549
232,195,203,351,583,546
232,194,202,354,575,548
232,193,203,352,580,546
232,190,206,353,583,543
232,192,205,354,580,544
231,194,206,354,580,544
232,191,207,352,584,541
232,189,208,352,585,540
232,189,208,350,589,538
232,186,209,350,590,537
232,186,209,351,588,538
232,185,209,348,592,536
233,182,209,348,592,536
233,181,210,348,594,534
232,183,211,349,594,534
233,181,211,348,594,534
232,181,211,349,593,534
232,183,210,348,593,534
232,182,211,349,593,535
232,184,211,349,592,535
232,183,211,351,590,535
231,185,211,351,589,536
231,189,210,355,582,539
231,188,212,352,589,535
231,185,213,353,589,535
231,185,215,349,596,529
231,178,215,349,596,530
231,179,215,348,598,528
231,181,215,351,594,531
231,180,216,349,596,529
231,180,216,351,595,530
231,180,216,348,598,528
230,182,216,351,594,530
231,181,217,350,596,529
231,181,217,353,593,530
230,181,218,351,596,527
230,182,217,351,595,528
231,179,217,351,596,529
230,183,217,352,593,530
230,183,218,351,596,530
230,184,217,353,593,531
230,180,218,349,598,526
230,178,218,349,599,525
230,176,218,347,599,524
230,175,219,344,604,521
230,172,220,346,603,522
230,174,220,348,602,524
230,180,221,347,604,522
395,381,347,667,979,982
395,381,346,666,978,983
395,382,347,666,979,982
395,381,347,666,979,983
396,381,348,667,980,982
397,381,350,667,983,982
396,381,351,668,983,982
396,381,348,667,981,983
396,381,348,667,980,982
395,382,346,666,977,982
394,382,348,667,979,982
395,381,347,666,978,982
394,382,346,666,978,982
395,381,345,665,976,983
394,382,345,665,976,983
395,381,343,663,976,983
395,381,343,664,975,983
395,381,341,662,974,983
395,382,342,663,973,984
394,381,342,663,974,984
395,382,344,665,976,983
395,381,344,664,977,983
396,381,346,665,977,982
395,381,344,664,977,982
395,382,347,666,976,982
396,381,346,665,979,981
397,380,346,665,980,983
397,381,345,664,980,984
397,381,344,664,978,984
397,382,343,663,976,984
397,381,345,665,978,984
396,382,345,665,977,984
397,382,347,666,980,984
397,382,345,664,979,984
397,382,347,665,981,984
397,380,344,663,979,984
398,380,346,664,980,984
397,381,347,665,981,983
397,380,349,666,983,983
397,380,348,665,983,984
398,381,348,666,983,983
397,381,351,668,985,983
397,381,347,664,982,984
397,380,348,665,983,983
397,380,347,664,982,983
397,379,346,664,980,983
397,380,349,666,984,982
397,380,348,665,982,983
396,380,349,665,984,982
180,103,142,221,487,398
181,99,132,209,484,398
183,101,131,212,482,405
183,101,131,216,482,411
185,104,128,212,482,414
184,102,129,216,481,420
185,104,127,210,481,414
183,100,123,206,478,411
182,99,120,203,475,409
182,99,119,202,473,410
182,99,118,203,471,413
181,98,114,197,470,410
180,96,115,198,470,411
180,96,113,196,469,411
180,96,112,195,467,413
179,95,110,193,465,414
180,96,109,192,465,413
178,94,108,190,465,411
178,93,107,188,465,410
176,91,108,188,466,408
177,92,108,188,466,408
176,91,107,186,466,406
176,90,107,186,466,406
175,89,107,184,465,404
175,89,107,185,466,404
175,89,107,183,466,403
175,89,108,186,466,405
175,90,106,184,464,407
175,90,106,184,465,405
175,90,106,184,465,406
174,90,105,183,464,405
174,89,106,183,465,404
174,89,104,181,464,402
174,88,106,182,465,403
173,88,106,181,466,401
172,87,106,181,467,398
172,86,107,180,468,396
171,85,107,179,468,394
171,85,106,178,467,394
170,84,106,179,467,396
171,85,107,180,468,396
171,85,107,179,468,396
170,84,108,178,469,391
168,82,107,176,470,388
169,82,108,177,470,389
167,82,107,176,470,387
168,82,108,177,470,389
168,82,108,176,470,388
167,82,109,177,472,387
169,83,109,177,474,388
167,82,109,176,473,387
168,83,109,176,473,387
166,81,109,176,473,387
165,81,108,172,472,382
164,79,107,171,471,381
163,79,106,168,470,378
159,76,103,163,466,372
157,74,102,161,465,367
156,73,101,160,464,366
156,74,104,163,467,367
155,73,102,159,465,363
154,72,103,160,466,364
154,73,103,159,466,362
155,73,105,161,468,361
153,72,105,160,469,359
153,72,105,160,469,358
153,72,105,159,468,356
151,71,105,158,468,354
151,71,106,159,469,355
151,71,105,156,467,352
146,69,104,154,466,347
143,68,103,152,464,344
145,69,103,154,466,347
144,68,102,152,464,344
144,68,102,152,464,345
210,155,193,298,556,463
213,135,181,279,560,459
212,128,175,271,561,458
212,127,178,273,561,456
209,124,180,267,564,445
209,121,176,268,562,452
212,127,176,275,559,460
212,127,175,272,559,459
213,128,175,274,558,462
213,130,175,274,558,462
213,130,174,274,558,463
213,129,173,272,558,461
213,130,175,276,557,464
214,132,175,276,557,463
214,131,174,275,556,465
214,131,173,275,556,465
214,132,173,275,556,465
214,132,173,276,555,466
215,132,170,275,554,469
214,132,170,274,554,468
215,133,172,276,555,467
214,132,173,275,555,466
214,132,173,276,555,466
214,132,172,274,556,466
214,132,172,275,555,467
214,132,172,274,555,467
214,131,172,272,556,464
212,126,167,268,554,466
213,128,165,266,554,466
213,127,165,265,554,464
213,129,168,268,555,464
212,124,164,261,555,462
212,124,167,264,556,461
211,124,166,263,556,461
211,124,166,262,556,460
211,122,165,261,556,460
212,124,165,263,555,462
211,124,165,261,555,461
211,123,164,261,554,462
211,123,162,259,554,462
211,123,162,261,553,464
211,123,162,260,553,463
211,123,162,261,553,464
212,124,162,260,553,463
212,124,162,261,552,465
211,123,161,259,553,464
212,125,160,261,551,468
213,127,161,263,551,469
