R,G,B,O,Y,B
244,329,465,389,283,93
251,330,464,389,290,96
246,329,464,389,283,94
245,329,462,388,283,95
241,328,462,387,279,92
240,326,461,386,281,93
241,327,460,386,277,92
238,327,460,385,278,93
232,324,460,383,272,88
227,321,461,379,263,82
236,318,466,378,282,85
216,307,466,369,267,76
205,302,465,367,259,74
205,301,465,365,259,73
194,294,458,350,241,66
178,285,456,345,236,64
177,285,457,348,237,65
180,287,457,349,238,66
179,287,458,349,239,66
180,287,456,348,236,65
179,287,456,349,237,66
181,289,459,352,242,67
180,288,452,348,229,65
180,289,457,352,238,67
182,289,453,349,232,66
181,290,458,354,240,67
182,290,453,351,232,66
183,291,456,354,239,68
185,292,454,354,235,67
186,293,457,357,241,69
190,295,457,357,241,69
188,295,456,357,239,69
185,294,454,357,235,69
186,295,455,357,238,69
191,296,457,358,244,70
194,297,458,360,244,70
194,298,459,361,247,71
195,306,457,361,244,71
187,297,455,360,239,70
196,299,460,363,251,72
199,300,462,365,258,74
206,302,462,366,258,74
213,305,464,369,268,77
209,304,463,368,260,75
212,304,465,369,273,78
216,305,465,368,269,77
216,305,465,368,272,78
217,305,465,367,275,78
219,304,465,367,281,79
1070,2151,2629,2324,1184,451
1028,2153,2581,2314,1141,457
1050,2165,2603,2330,1158,459
1045,2153,2653,2347,1188,454
1058,2150,2657,2361,1198,459
1062,2158,2659,2358,1192,457
1049,2141,2673,2354,1205,452
1045,2140,2660,2349,1183,453
1045,2137,2689,2354,1209,449
1049,2140,2667,2347,1192,450
1044,2138,2683,2355,1208,450
1048,2143,2686,2344,1199,445
1041,2131,2698,2362,1211,450
1042,2125,2698,2348,1204,443
1034,2122,2704,2357,1210,446
1038,2121,2706,2352,1207,443
1045,2124,2715,2365,1218,447
1055,2128,2723,2377,1227,450
1056,2128,2718,2357,1212,443
1035,2119,2719,2363,1217,445
1057,2127,2725,2363,1218,444
1033,2115,2723,2354,1213,441
1048,2123,2727,2364,1221,444
1033,2116,2717,2348,1206,439
1039,2118,2724,2358,1215,443
1031,2119,2708,2338,1197,437
1122,2261,2902,2533,1293,479
1141,2272,2918,2548,1307,483
1145,2269,2942,2548,1319,478
1110,2232,2952,2488,1282,453
1046,2169,3015,2415,1281,426
980,2062,3048,2374,1275,415
1021,2083,3043,2420,1287,425
1015,2092,3043,2444,1304,431
1047,2118,3019,2415,1270,427
1031,2119,3027,2472,1302,439
1085,2138,3037,2464,1333,439
1104,2147,3058,2492,1375,445
1120,2186,2993,2531,1366,467
1174,2235,3001,2561,1402,481
1164,2223,2994,2501,1352,458
1105,2198,3003,2510,1365,459
1129,2214,3006,2530,1377,465
189,213,263,231,207,87
193,223,276,252,200,93
192,239,281,258,198,93
194,235,276,254,198,94
193,236,278,254,201,92
193,230,276,249,203,91
193,227,275,249,203,91
194,231,278,253,202,92
193,232,279,253,202,92
193,233,279,254,201,92
193,233,278,252,202,92
193,231,279,253,202,91
192,233,282,255,202,91
192,232,280,253,203,91
192,229,283,253,204,89
192,229,281,254,203,90
191,231,285,257,203,89
191,233,285,257,202,89
190,233,285,258,200,90
190,235,290,261,200,88
188,232,293,261,201,85
189,231,289,259,202,87
188,231,292,260,202,86
188,231,289,257,203,87
190,229,288,257,203,87
189,230,289,257,203,86
188,229,289,257,204,86
189,227,286,253,205,86
190,226,286,252,206,86
189,226,287,253,206,85
189,225,287,253,206,85
189,225,288,253,206,84
189,224,286,251,206,85
189,224,287,252,207,84
189,224,286,251,206,84
189,223,285,251,206,85
189,223,285,250,207,84
189,222,287,250,207,83
189,222,285,249,207,83
188,222,287,250,207,83
189,222,284,248,208,84
189,222,286,249,207,83
188,221,285,249,207,83
189,221,284,248,207,83
189,220,283,246,208,83
189,221,283,247,207,84
190,220,280,245,208,84
190,220,281,246,207,84
190,219,280,244,208,84
190,220,282,246,208,84
190,220,280,244,208,84
190,219,281,245,208,84
190,219,277,241,208,85
190,219,279,243,208,85
190,219,277,242,208,85
190,219,278,242,208,85
190,219,274,239,207,85
190,218,277,242,208,85
191,218,275,241,207,86
191,219,277,243,207,85
190,219,275,240,207,85
190,217,274,238,208,85
189,215,274,237,209,84
190,215,276,238,209,83
190,215,274,237,209,83
189,215,276,238,209,82
189,213,274,235,210,81
188,215,282,242,209,80
188,214,277,239,209,82
188,217,277,239,209,82
188,211,270,230,210,80
187,210,272,230,211,79
187,207,270,227,211,77
186,207,270,226,211,77
186,204,263,220,211,76
185,204,269,222,212,74
183,202,270,222,212,73
182,202,272,222,212,72
181,201,274,221,212,70
179,201,278,223,213,69
178,200,280,223,213,67
176,199,282,225,213,67
178,199,278,223,213,68
178,200,279,224,213,68
179,200,278,223,213,68
210,276,306,290,207,110
211,277,307,292,207,111
211,278,307,293,206,110
211,281,307,294,205,111
210,279,308,293,206,110
210,279,310,295,207,108
207,280,316,292,208,101
204,269,316,293,209,102
204,273,317,295,206,101
204,275,316,296,205,103
204,275,316,296,205,103
204,277,316,296,204,104
204,276,317,297,205,103
205,277,317,297,205,103
205,276,318,297,205,104
205,277,316,297,205,105
206,279,316,297,206,105
206,277,316,297,206,104
205,278,317,298,204,105
205,280,317,299,204,104
205,280,317,300,203,104
205,280,317,300,203,104
204,282,317,301,202,104
204,282,318,301,202,103
204,282,316,301,202,104
205,282,317,301,202,103
204,282,318,302,201,103
203,282,318,301,202,103
203,282,317,302,201,103
203,282,318,301,203,102
204,281,315,300,202,105
206,283,315,300,202,105
206,283,315,301,201,105
206,281,315,298,204,105
206,280,316,299,204,104
205,281,317,300,204,104
205,281,317,299,204,104
206,280,317,299,204,104
205,280,318,301,203,103
205,281,318,300,203,103
204,282,318,302,202,103
205,282,317,302,203,104
205,283,316,302,202,105
204,283,318,302,201,104
204,283,319,301,204,102
372,454,601,518,418,168
379,465,599,523,416,173
384,474,597,524,414,176
384,488,597,526,414,176
385,473,595,521,414,177
386,476,593,525,412,181
387,479,590,523,411,181
386,477,590,525,410,182
387,483,593,529,409,183
388,486,593,531,408,184
389,487,590,531,407,186
389,487,588,526,408,184
388,485,587,525,408,184
388,481,585,521,409,183
387,479,583,518,409,183
387,475,578,512,409,182
387,470,577,511,410,182
388,471,574,508,409,182
387,469,572,508,410,182
388,467,566,500,409,182
387,464,568,502,410,182
387,465,565,499,410,182
388,464,563,496,410,182
387,463,562,495,409,182
388,462,562,495,410,182
388,463,562,495,410,182
386,457,554,486,409,181
386,456,556,488,409,181
386,457,554,486,408,182
386,455,553,484,408,182
386,456,552,486,407,182
387,457,552,485,407,182
387,457,550,484,407,183
386,454,548,482,406,183
387,456,548,483,406,183
387,455,546,481,406,183
387,455,544,479,405,183
386,455,547,484,405,184
388,461,561,494,407,182
384,464,570,502,407,180
385,469,570,504,407,181
385,468,568,503,406,182
385,469,567,502,406,182
385,468,569,504,406,182
385,471,574,508,406,181
384,470,573,508,406,182
392,475,578,507,416,182
392,475,584,511,416,181
388,470,585,504,419,174
388,469,588,516,416,182
392,483,594,528,414,186
391,483,589,521,415,183
392,481,588,524,414,186
393,485,588,522,414,185
392,484,588,523,413,186
392,483,586,520,414,184
392,484,586,522,412,186
392,483,586,521,413,186
393,487,587,525,411,188
394,490,585,526,410,190
394,489,584,522,411,189
393,486,581,521,411,188
394,488,583,524,409,190
394,490,580,521,409,190
394,488,582,528,407,193
397,497,581,521,411,190
396,492,581,524,409,192
396,492,579,522,409,191
395,491,581,523,410,191
396,491,579,519,411,190
395,488,580,520,411,190
395,488,578,520,410,190
396,491,580,521,409,190
394,487,578,517,412,189
616,1017,873,740,457,415
617,998,871,737,460,413
620,984,868,731,467,410
626,1000,873,740,465,412
632,983,872,741,471,413
633,992,872,741,470,414
634,984,867,734,474,412
631,980,866,731,475,411
637,961,863,728,478,409
637,963,863,728,481,408
635,966,863,725,471,410
628,961,860,719,469,408
628,951,856,713,473,405
627,950,855,711,470,405
623,942,855,708,466,403
623,947,854,707,467,403
624,937,855,711,465,405
619,944,854,705,466,402
623,935,854,706,470,402
623,939,853,705,471,401
626,933,853,705,473,401
625,941,852,704,472,400
625,946,853,708,471,403
624,943,854,707,470,402
630,934,855,712,478,403
629,945,853,709,473,402
628,938,854,710,475,403
627,945,853,707,469,401
625,937,852,704,471,400
621,939,853,705,467,400
620,936,852,703,465,400
612,942,853,700,462,398
616,931,853,702,464,399
613,941,852,699,462,398
620,933,853,704,459,401
606,944,853,699,458,398
615,946,860,713,460,406
613,956,858,709,464,405
619,949,859,711,462,405
616,945,855,705,464,402
620,942,855,708,464,404
617,945,854,706,467,402
620,942,856,707,464,403
617,942,854,705,464,402
615,943,857,706,461,403
618,943,857,707,462,404
615,948,855,703,459,402
614,937,854,702,460,402
612,941,854,701,460,401
614,937,854,703,461,402
613,943,854,702,462,401
614,940,857,704,459,403
610,942,856,702,459,401
608,943,856,703,454,402
605,944,854,699,457,399
613,936,858,703,457,402
612,943,856,703,461,402
614,943,857,704,459,403
614,940,857,704,461,403
616,945,856,706,460,403
617,945,858,706,460,404
615,943,857,703,464,402
620,937,860,707,465,404
623,938,859,705,472,402
623,935,859,703,465,401
618,933,858,702,468,401
618,937,858,703,461,402
619,931,857,701,465,400
613,937,858,703,463,401
620,938,861,708,465,405
616,955,866,717,463,410
625,956,866,715,463,409
621,951,865,712,465,408
624,946,869,716,466,411
626,945,868,715,470,410
625,954,870,717,467,411
622,949,873,722,472,414
626,952,867,711,466,406
621,941,864,709,468,404
619,940,862,706,467,403
621,945,863,707,464,404
619,936,861,703,466,401
616,941,862,705,464,402
617,939,863,706,462,403
611,945,861,703,461,401
613,940,862,704,460,401
608,942,861,702,458,400
301,371,506,427,340,124
304,372,502,424,342,125
302,372,504,426,340,125
304,374,502,424,341,126
302,374,504,427,338,125
303,374,502,425,340,126
302,374,503,427,340,126
305,374,499,424,341,127
303,373,500,426,340,126
305,374,498,423,342,127
300,371,504,425,340,122
301,370,505,425,340,123
302,371,501,422,343,124
304,371,501,422,343,124
304,371,499,422,342,126
305,371,497,420,340,126
302,375,504,428,337,126
302,375,502,425,337,125
303,373,498,421,340,125
303,372,501,423,340,125
304,371,499,421,341,125
303,371,498,420,339,125
303,369,493,416,341,126
303,369,495,419,339,126
304,369,493,417,341,127
305,370,494,418,340,127
304,370,498,419,339,124
299,368,500,421,337,122
299,369,499,420,338,122
301,366,498,418,339,122
299,368,499,419,338,121
297,368,505,423,335,118
296,367,503,420,338,118
294,364,503,421,336,117
295,366,503,421,337,118
295,365,505,421,336,117
295,366,505,421,337,118
296,366,504,421,337,118
295,365,502,419,338,118
295,364,503,419,337,117
295,364,504,419,337,117
290,363,507,421,332,112
289,361,508,419,335,112
288,360,508,419,334,111
290,360,505,417,336,112
288,358,507,419,333,111
288,359,504,417,335,112
288,357,505,417,333,111
287,357,505,417,333,111
285,357,504,418,332,111
288,357,503,415,334,112
281,357,510,423,323,107
252,627,584,606,215,134
260,633,613,638,233,143
280,648,630,657,244,154
348,672,679,703,318,198
371,676,662,694,294,191
317,665,655,681,266,168
323,667,659,684,269,169
326,667,657,682,268,169
328,668,662,685,271,169
329,667,669,689,274,167
327,666,674,688,275,165
326,663,671,686,273,164
323,662,670,684,270,161
315,658,671,682,268,158
316,658,672,683,268,158
317,659,675,684,269,157
315,658,673,683,268,157
315,658,676,684,269,156
314,657,678,686,270,155
315,657,680,686,271,155
313,657,678,684,268,154
315,655,679,685,269,154
311,656,677,683,268,153
307,653,676,681,265,150
307,653,677,681,265,151
307,653,679,682,267,150
308,654,676,681,266,151
308,654,676,681,265,151
308,654,675,681,266,152
308,654,677,682,266,151
308,654,678,682,267,150
307,654,678,682,267,151
309,654,680,683,268,150
309,652,684,685,270,150
309,653,681,684,268,150
308,651,688,685,271,149
307,650,682,681,266,147
303,649,679,679,264,147
300,646,687,680,266,144
302,645,689,681,268,144
302,643,692,682,269,144
303,643,692,682,269,144
302,643,693,681,269,143
302,640,694,681,269,143
301,640,694,680,268,142
298,638,692,678,266,141
296,636,696,679,268,139
296,634,695,678,266,139
293,652,697,678,267,138
208,267,377,317,239,81
197,261,380,313,232,73
198,258,379,313,237,75
202,261,379,314,238,77
200,258,379,313,237,77
204,265,379,316,237,78
208,268,376,318,238,84
208,269,379,315,234,76
207,267,376,318,238,84
210,270,377,317,237,81
203,264,376,320,238,86
215,274,375,319,240,87
209,267,376,317,240,84
217,274,374,318,241,87
213,269,373,317,242,87
217,272,373,315,243,87
212,266,370,315,245,90
218,269,375,312,243,82
209,261,373,314,244,86
219,270,373,316,243,87
214,268,373,316,243,87
211,266,374,314,243,85
218,268,370,313,246,90
217,268,375,312,245,84
219,269,363,313,246,97
223,271,367,312,247,92
218,267,369,312,246,90
221,269,371,312,246,87
217,266,369,312,246,90
219,268,372,311,246,86
216,265,372,312,246,86
209,261,375,310,245,81
218,266,373,311,245,84
211,262,376,310,245,80
210,261,372,312,246,86
210,260,374,309,246,81
217,265,372,311,247,86
209,259,374,309,247,81
215,263,372,309,247,84
214,262,367,310,249,91
216,265,372,310,247,85
214,261,372,308,248,84
217,264,374,310,246,82
214,263,370,311,247,88
217,265,372,311,247,85
218,265,371,311,248,87
216,264,370,312,248,88
222,269,366,312,248,93
223,266,362,308,250,94
227,269,360,308,249,96
221,266,363,309,249,93
226,269,362,311,248,96
224,270,361,312,247,98
228,273,366,313,247,93
223,270,362,312,247,97
225,272,368,314,246,92
224,272,361,313,247,98
226,273,368,315,246,92
223,272,363,314,246,97
226,273,368,313,247,92
226,271,359,311,247,100
228,273,360,312,248,98
229,272,355,310,247,102
230,273,359,310,248,99
229,271,346,304,247,105
232,272,358,309,248,98
230,271,353,307,248,102
231,272,356,308,248,99
1186,1409,1674,1486,1109,720
1302,1427,1750,1556,1192,739
1214,1438,1674,1471,1097,713
1191,1382,1593,1356,1053,674
1165,1294,1566,1311,1061,650
1142,1291,1529,1287,1017,648
1135,1260,1511,1245,1039,625
1125,1254,1524,1265,1031,636
1131,1259,1517,1255,1034,630
1127,1244,1531,1273,1036,638
1130,1257,1530,1270,1039,635
1135,1281,1554,1311,1038,653
1162,1316,1563,1338,1044,656
1167,1322,1593,1393,1047,669
1164,1346,1583,1392,1028,669
1166,1364,1576,1393,1006,674
1149,1401,1612,1432,1030,679
1171,1347,1624,1429,1052,673
1174,1337,1598,1380,1063,652
1173,1340,1607,1399,1058,661
1176,1312,1603,1386,1070,652
1175,1320,1612,1401,1067,658
1176,1327,1602,1389,1063,655
1177,1322,1590,1373,1058,650
1166,1323,1587,1380,1051,652
1172,1329,1600,1409,1052,654
1182,1402,1632,1500,1003,685
1124,1561,1603,1519,904,704
1146,1409,1579,1445,975,672
1162,1415,1568,1397,1005,659
1147,1372,1563,1383,1022,648
1160,1358,1559,1408,985,660
1143,1380,1564,1403,995,660
1138,1365,1560,1397,1004,655
1137,1388,1571,1421,987,667
1147,1371,1552,1378,1011,649
1138,1363,1548,1381,1002,651
1139,1372,1533,1361,1000,644
1141,1357,1548,1377,1000,651
1139,1348,1534,1351,1013,638
1136,1352,1537,1375,990,650
1138,1371,1549,1384,995,653
1138,1370,1546,1382,997,652
1137,1372,1538,1375,997,648
1137,1374,1540,1383,985,653
1136,1392,1537,1380,985,652
1135,1378,1539,1381,989,652
1137,1405,1545,1392,983,657
1139,1381,1540,1387,987,653
1137,1401,1544,1396,983,655
1137,1395,1539,1390,987,651
1138,1397,1547,1402,984,656
1143,1400,1553,1401,1001,651
1140,1377,1536,1375,1008,642
1136,1355,1525,1363,1010,634
1139,1361,1531,1371,1007,639
1138,1360,1527,1370,1006,638
1139,1368,1532,1381,1001,643
1139,1379,1532,1378,1003,642
1137,1375,1537,1399,992,648
1140,1377,1531,1376,1008,638
1139,1366,1534,1381,1015,637
1142,1360,1524,1361,1034,622
1139,1338,1532,1374,1030,628
